Feature_Number,Avg_NDCG@10,Std_NDCG@10,Best_NDCG@10,Avg_MAP@10,Std_MAP@10,Best_MAP@10
1,0.452638406,0.000597906,0.453071924,0.391641873,0.013171526,0.402898912
2,0.469026476,0.009358115,0.487583702,0.403163724,0.01922622,0.430232962
3,0.474951688,0.013199401,0.488466275,0.409792786,0.035458634,0.441221199
4,0.483730105,0.007372482,0.498342875,0.42530756,0.021761436,0.465698768
5,0.490675365,0.002963882,0.495751551,0.436490862,0.011022675,0.449431796
6,0.493195841,0.004534198,0.501463181,0.437012073,0.014896295,0.460059017
7,0.493853534,0.002223901,0.496054446,0.439707125,0.020515415,0.459373159
8,0.495375653,0.002764869,0.498492061,0.443274592,0.009951053,0.459746312
9,0.495272419,0.000727631,0.496451233,0.443794167,0.013464612,0.457694097
10,0.497249829,0.002038896,0.499709739,0.444298505,0.006063057,0.45215875
11,0.498412973,0.002340462,0.502651226,0.443062373,0.006313184,0.450399494
12,0.4983146,0.001607067,0.499907809,0.444421225,0.012732935,0.464127309
13,0.498474063,0.001534563,0.500853765,0.432023445,0.009842506,0.444171134
14,0.500690661,0.003166989,0.506585673,0.449170848,0.003816682,0.452511976
15,0.499902274,0.00167469,0.502103015,0.440208798,0.012627341,0.46162876
16,0.498575057,0.001390842,0.500482657,0.439378522,0.009802178,0.456286198
17,0.500467476,0.000595395,0.501226951,0.442692712,0.005704847,0.453057645
18,0.5004494,0.001710258,0.503649315,0.436877144,0.008096337,0.446445532
19,0.498667567,0.001267597,0.501159071,0.438421494,0.009037025,0.451678668
20,0.500622138,0.002022012,0.503385271,0.438718041,0.011370506,0.458344078
21,0.499636013,0.001587301,0.502218895,0.43432984,0.011117289,0.452333664
22,0.499250383,0.00181813,0.501708731,0.450320279,0.00699952,0.461374586
23,0.498866782,0.000798757,0.499619853,0.432848029,0.004764408,0.43832907
24,0.50093042,0.002080093,0.503826977,0.438763781,0.009141628,0.452623902
25,0.50030892,0.001052174,0.501439667,0.436775837,0.004741067,0.444334049
26,0.498918592,0.002136589,0.502323806,0.439160289,0.012463897,0.452537696
27,0.499496846,0.001239313,0.501801104,0.442140114,0.006795003,0.453552892
28,0.499595551,0.002167146,0.503710477,0.444450489,0.001730382,0.445606358
29,0.499568927,0.001517584,0.502254597,0.435229595,0.008335552,0.445107175
30,0.499937423,0.000669586,0.500917317,0.43674317,0.002162286,0.439733941
31,0.500759187,0.001282288,0.502914203,0.43997931,0.004745161,0.446125268
32,0.49965202,0.002299375,0.503398293,0.443922192,0.005003884,0.44958804
33,0.499331444,0.001574233,0.502250056,0.441534769,0.008063924,0.449080658
34,0.498979054,0.001413217,0.500305168,0.431284935,0.007052651,0.440866453
35,0.499819953,0.002111073,0.503542155,0.44027979,0.007880047,0.446592654
36,0.499329669,0.00124546,0.50071697,0.435169595,0.010075702,0.453631233
37,0.497304847,0.001361755,0.499017506,0.433194111,0.008163224,0.443626258
38,0.498941489,0.000990545,0.500158,0.435957813,0.009008579,0.449629948
39,0.497116644,0.001682931,0.499277359,0.437556378,0.006767394,0.446318136
40,0.497173889,0.001505113,0.499720292,0.441063743,0.004098537,0.446278052
41,0.497538013,0.000529117,0.498039258,0.437585086,0.007116079,0.446642911
42,0.496898699,0.000690194,0.497717768,0.432658445,0.013871548,0.454470454
43,0.496312761,0.001043138,0.498039258,0.434976102,0.006757925,0.443361723
44,0.494101309,0.001520649,0.49576724,0.436627432,0.00639697,0.444258503
45,0.492766895,0.000218454,0.492945262,0.425942931,0.011051028,0.434966057
