Feature_Number,n1s1_avg,n1s1_std,n1s2_avg,n1s2_std,n1s3_avg,n1s3_std,n2s1_avg,n2s1_std,n2s2_avg,n2s2_std,n2s3_avg,n2s3_std
1,0.836158204,0.080811104,0.834576479,0.085556279,0.795005477,0.139840236,0.525867172,0.180565994,0.57578433,0.160627371,0.51017338,0.05737789
2,0.49846322,0.073883775,0.548730724,0.121414806,0.515006806,0.131886473,0.462171571,0.05997625,0.485732065,0.1315204,0.455493994,0.046451418
3,0.506137262,0.040357445,0.503345298,0.046788446,0.539565374,0.114973869,0.528661348,0.127522631,0.470515068,0.02262448,0.454694865,0.022708328
4,0.490806415,0.047702064,0.468607204,0.005042091,0.477860856,0.023358295,0.479656893,0.025520831,0.468242243,0.004589222,0.465668301,0.029672866
5,0.468385672,0.003953272,0.469075743,0.006278731,0.47018384,0.004540314,0.467848516,0.006450082,0.468164297,0.003619179,0.467030941,0.003934081
6,0.470858456,0.002330776,0.468628735,0.002569786,0.468571277,0.005635836,0.467111331,0.005109088,0.469683831,0.002287836,0.463948671,0.015459172
7,0.469645839,0.002122573,0.470983789,0.004725271,0.471831325,0.002780096,0.470060584,0.002371662,0.468655421,0.004508453,0.470197269,0.003338987
8,0.471952824,0.001929373,0.468800606,0.003655152,0.469958747,0.003832489,0.468862778,0.008967301,0.471133204,0.0019856,0.470853439,0.00238917
9,0.470221878,0.004908545,0.470354142,0.003118591,0.472013827,0.001710248,0.470868526,0.001399989,0.470839232,0.002326056,0.470234623,0.002867199
10,0.470819752,0.001843149,0.472833922,0.002676192,0.472667642,0.002104462,0.470864035,0.002538623,0.470872632,0.001817152,0.471755057,0.00186417
11,0.470545649,0.002321261,0.470543202,0.003660298,0.472917854,0.002855006,0.472841553,0.002149137,0.471738332,0.002066647,0.469754534,0.000963714
12,0.469877224,0.002231728,0.471391172,0.001754512,0.471588394,0.003036238,0.471588014,0.002112599,0.470722209,0.002793333,0.472460361,0.0022962
13,0.472092626,0.001662387,0.468826481,0.0044028,0.470490966,0.003757212,0.470940004,0.001912038,0.471978444,0.002376587,0.471113026,0.001736123
14,0.472122897,0.00308192,0.472318996,0.002722323,0.472402948,0.002854411,0.472593119,0.002227067,0.472159977,0.001631971,0.473161283,0.002009525
15,0.471119041,0.002189575,0.472713581,0.00239904,0.469815468,0.002507745,0.473057539,0.002465079,0.472775802,0.002173481,0.472255915,0.001749197
16,0.473688618,0.001028252,0.473526031,0.001973943,0.474098767,0.00067381,0.474371826,0.001844362,0.474760922,0.001787027,0.474105554,0.00135437
17,0.473414542,0.001061548,0.474488388,0.001845538,0.473806655,0.000862123,0.473902454,0.001351373,0.472843171,0.001411438,0.474359999,0.001344185
18,0.474592748,0.001779968,0.473983718,0.001471891,0.474770861,0.00102607,0.473637771,0.001230003,0.473119499,0.000761056,0.473654935,0.001155845
19,0.472923157,0.001277147,0.47359276,0.001617967,0.474150286,0.000816182,0.473331213,0.00115575,0.474277163,0.001426169,0.474224553,0.001099208
20,0.473417552,0.000902754,0.473556419,0.001343052,0.473153457,0.001060966,0.473122901,0.001769453,0.474401577,0.001976536,0.474135714,0.001543109
21,0.472503495,0.001789897,0.472953546,0.002030017,0.473892827,0.001342195,0.472399588,0.001672372,0.473813584,0.001738362,0.47399937,0.000895957
22,0.473761698,0.002034817,0.474489146,0.000734798,0.473398175,0.001342912,0.473162885,0.000961848,0.474132678,0.001693843,0.473660576,0.001258726
23,0.472970692,0.001353599,0.473309594,0.001415242,0.473546995,0.001149902,0.473018447,0.000607998,0.474478499,0.00171328,0.475339743,0.001153622
24,0.473044479,0.001477547,0.473823758,0.001170753,0.473977972,0.001564123,0.473581279,0.001475303,0.473828809,0.001435011,0.474109485,0.000904317
25,0.473973912,0.002239166,0.472905607,0.001862136,0.474129675,0.001490617,0.47346137,0.001756428,0.473820689,0.000938292,0.473847765,0.001111593
26,0.473370206,0.001958572,0.472974616,0.001592069,0.473536613,0.001150691,0.473419856,0.001312691,0.474511762,0.001291183,0.474338265,0.001400508
27,0.473642926,0.001140489,0.474091127,0.001407567,0.473581713,0.001700301,0.473257727,0.00092855,0.474444123,0.000787812,0.47432158,0.001333347
28,0.473104162,0.001955606,0.473254564,0.002075516,0.473332651,0.00089677,0.472967998,0.000872426,0.474468134,0.000966747,0.475127795,0.001789481
29,0.473325577,0.001277346,0.472759647,0.001464567,0.473027151,0.00097755,0.472777062,0.000612473,0.475061175,0.000726595,0.474988865,0.000787358
30,0.473955574,0.001188694,0.472567716,0.000929764,0.473180364,0.001279923,0.472930621,0.000887441,0.474709958,0.001124201,0.474913438,0.000914145
31,0.472510541,0.001822206,0.472586898,0.001987878,0.471774621,0.001611087,0.472150393,0.001435163,0.473341986,0.00081425,0.474037044,0.001181828
32,0.472272648,0.002400842,0.472235126,0.001595157,0.472292096,0.001120267,0.472613798,0.001187962,0.47437759,0.000834653,0.474688119,0.001117842
33,0.472308169,0.0014449,0.472612934,0.001469106,0.471949366,0.00119248,0.471806789,0.001206533,0.474184112,0.000805779,0.475376825,0.000887057
34,0.471643345,0.001075238,0.471724669,0.001662614,0.471784063,0.001198034,0.471874943,0.001445946,0.474426298,0.00131073,0.47470034,0.001424698
35,0.472456152,0.001073707,0.471501279,0.000994118,0.473145438,0.001398684,0.472112216,0.001134577,0.474577808,0.00128967,0.474100732,0.00102757
36,0.471857062,0.001803711,0.47154058,0.001370345,0.471392833,0.001204291,0.472335791,0.001328519,0.474529994,0.001151616,0.474072572,0.00092669
37,0.472209709,0.001492901,0.472874063,0.001318482,0.471982036,0.001942638,0.471629787,0.001481908,0.474725769,0.001422852,0.473345878,0.000823217
38,0.472134665,0.000630691,0.471396582,0.001019095,0.4724867,0.001215703,0.47144737,0.001245494,0.474613149,0.000605698,0.474402038,0.001019606
39,0.471338215,0.000693309,0.4719758,0.001688769,0.471331238,0.001160565,0.471787325,0.001265683,0.474929166,0.000841172,0.474409041,0.001210787
40,0.471642643,0.001165069,0.471349823,0.000998308,0.471546136,0.00090293,0.471626432,0.001227285,0.47387566,0.001045891,0.473865553,0.00125761
41,0.471437731,0.001099558,0.4713588,0.000645144,0.470921876,0.000736609,0.471075057,0.00101322,0.474157865,0.001112458,0.474388546,0.000908509
42,0.471920976,0.00110808,0.47141187,0.00057376,0.471481261,0.00130599,0.470718662,0.000921861,0.473815979,0.000685199,0.473620945,0.001038873
43,0.471006235,0.000807718,0.471142371,0.000811186,0.471562246,0.001060106,0.470702136,0.000909452,0.473661484,0.001109364,0.473368544,0.000896567
44,0.469410833,0.000970479,0.469748643,0.001014589,0.470198059,0.001246743,0.469437905,0.001057356,0.472013543,0.001443357,0.471359412,0.001208602
45,0.470047904,0.001066665,0.469594408,0.001060471,0.469449108,0.000894459,0.468435644,0.001612108,0.471019803,0.000723552,0.471617554,0.000984628
